Episode,Cumulative Reward
1,1.5528895423376368
2,2.794296138085815
3,4.289766251808183
4,6.217254807680142
5,6.704102171845762
6,9.304447189956326
7,10.932428179492547
8,11.35440492473208
9,13.19199399346194
10,14.598490797255645
11,16.3052346843932
12,17.969504019926333
13,20.32880315945964
14,22.123214463910344
15,23.476055353832653
16,23.476055353832653
17,26.460827769811804
18,28.056897018542372
19,29.58786868841809
20,30.861230784235953
21,30.861230784235953
22,32.243564105877134
23,34.50791126818004
24,36.14053713526598
25,38.06689266390787
26,38.50701756720492
27,39.053726292760636
28,40.768253058904804
29,43.03766603332418
30,43.03766603332418
31,45.63568514424339
32,47.81150821186007
33,48.944877907870236
34,48.944877907870236
35,51.2525732244986
36,52.271363134512704
37,53.690711459737486
38,55.2520008101656
39,56.84823830390957
40,57.2383382539976
41,58.71502108175791
42,59.50715266486934
43,59.50715266486934
44,61.24438011198472
45,62.84173473773946
46,62.84173473773946
47,64.06319678889868
48,66.48606523373422
49,66.82627325885002
50,67.31312062301565
51,69.0456482351883
52,71.1575805180653
53,71.64442788223093
54,73.95025252661037
55,73.95025252661037
56,76.43398916854974
57,77.47551932196802
58,78.70433467162103
59,78.70433467162103
60,80.11083147541473
61,81.3220492447926
62,81.61266802906825
63,83.33952078713095
64,83.89916590691223
65,85.87490308566615
66,87.80602416856378
67,91.5752454326178
68,93.42221924744494
69,95.18906433572428
70,97.10757371500688
71,97.95533953365779
72,99.7985102603752
73,99.7985102603752
74,101.13715130799031
75,101.55912805322984
76,102.73723257848566
77,103.32709227528768
78,103.32709227528768
79,103.32709227528768
80,104.65867601958492
81,104.85677354816814
82,105.18897013691875
83,106.1991917106121
84,106.1991917106121
85,108.0117519286229
86,108.51675695353205
87,108.51675695353205
88,108.8073757378077
89,110.3560274882766
90,111.88374483277512
91,113.80253991937599
92,114.09315870365164
93,115.35605967373195
94,116.02894765020358
95,117.9726539647537
96,120.49300125500609
97,120.49300125500609
98,121.48608109844118
99,122.60389976312334
100,122.60389976312334
101,123.54922174073232
102,125.22962339165224
103,125.22962339165224
104,126.24841330166635
105,126.24841330166635
106,126.87510848706455
107,127.966684556556
108,128.35678450664403
109,130.4177605286131
110,132.26039064966628
111,134.03509169667353
112,135.02817154010862
113,135.53317656501775
114,136.6441319844888
115,140.1138003570623
116,141.11649248611016
117,141.59891092304605
118,143.12688756840365
119,144.6566787105686
120,145.1390971475045
121,145.1390971475045
122,147.0068378888422
123,148.50230800256458
124,150.94346977336053
125,152.6786249949333
126,153.1610434318692
127,153.78919657909518
128,156.38723047707722
129,157.33254357947732
130,158.6079794729616
131,160.49844605248364
132,160.9385709557807
133,161.77431460761272
134,163.76932388169763
135,165.7598083371236
136,167.09201679246837
137,167.53214169576543
138,169.10138604428147
139,169.3988005645846
140,170.50975598405566
141,171.43600933254754
142,174.0643803842794
143,174.0643803842794
144,175.77890715042355
145,177.98448330828575
146,177.98448330828575
147,180.46916914502302
148,182.1001126226721
149,183.67634821417988
150,184.62167019178887
151,185.06179509508593
152,186.6653124340969
153,188.12143136448827
154,189.64644445064474
155,190.69592960215093
156,190.99334412245406
157,192.56618311742483
158,194.69115070317795
159,194.69115070317795
160,196.09619200887542
161,196.99438906309152
162,197.33459708820732
163,197.82144445237293
164,198.16165247748873
165,199.01643002068548
166,199.3138445409886
167,199.3138445409886
168,199.6540525661044
169,201.77347281833548
170,202.6399973337031
171,203.14500235861223
172,204.44866983766403
173,206.42427752812995
174,208.58954298707124
175,210.67092716490288
176,212.33349709425534
177,212.88020581981107
178,213.22041384492687
179,214.43163161430473
180,215.01925714957994
181,215.6671734820947
182,216.77055535898512
183,218.83792982234635
184,219.5400979014921
185,220.02251633842798
186,220.65066948565396
187,222.97639035431172
188,224.8966281049152
189,225.09472563349843
190,226.6765827651702
191,228.58372029226342
192,228.88113481256656
193,230.49708638173786
194,232.82762843724038
195,234.4989946135847
196,236.51367817622727
197,237.0186832011364
198,237.9240576409382
199,238.5116831762134
200,239.8175326521382
201,240.35456129080836
202,241.25993573061015
203,243.8252913246655
204,244.47320765718027
205,247.04634773316778
206,249.08461088003085
207,251.88814797184884
208,253.50077978215234
209,256.9472364965334
210,257.28744452164915
211,257.28744452164915
212,258.26683222514316
213,259.4928021628207
214,259.6908996914039
215,260.3628531935289
216,261.9390887850367
217,263.610454961381
218,264.1980804966562
219,265.8535065393451
220,267.36602523870255
221,268.10396544579044
222,269.8552591364033
223,271.4076065591643
224,273.43601354726803
225,275.10173484600824
226,275.10173484600824
227,275.9495006646591
228,276.94258050809424
229,276.94258050809424
230,278.6765717945356
231,279.7260569460418
232,281.21597621466543
233,281.51339073496854
234,283.54673971739294
235,284.0517447423021
236,284.72463271877376
237,285.212414557286
238,286.0150456263733
239,287.136375071746
240,287.136375071746
241,287.136375071746
242,289.85980583900454
243,290.15722035930764
244,292.6786608509136
245,294.19176433960905
246,295.2859227855692
247,295.2859227855692
248,297.1355927089086
249,298.9197243349159
250,298.9197243349159
251,299.217138855219
252,299.69955729215485
253,301.84686417851213
254,303.2545222960027
255,303.2545222960027
256,303.2545222960027
257,303.2545222960027
258,304.14179118792805
259,304.14179118792805
260,305.45235309248187
261,307.38661314836804
262,307.58471067695126
263,309.15239741651567
264,309.15239741651567
265,310.7500928720874
266,312.4727528871273
267,313.19213882749017
268,315.5678174410257
269,317.044500268786
270,317.044500268786
271,320.2413634059336
272,321.7140892899583
273,322.05429731507405
274,324.50063781858927
275,325.148554151104
276,325.3466516796872
277,326.7803993309158
278,329.0447464932187
279,330.84084769642175
280,330.84084769642175
281,331.1810557215375
282,333.0770440306765
283,334.6256957811454
284,335.0157957312334
285,336.9325284169302
286,337.63469649607595
287,338.22232203135115
288,341.0945280601179
289,343.0663842466257
290,343.45648419671375
291,345.0538388224685
292,345.4439387725565
293,345.7841467976723
294,346.3717723329475
295,346.3717723329475
296,347.48272775241855
297,349.62517838455364
298,351.4719607394842
299,351.9784184010413
300,352.3186264261571
301,353.7070423319641
302,354.0971422820521
303,354.0971422820521
304,354.0971422820521
305,354.4373503071679
306,354.943807968725
307,355.9842920548
308,357.72339174628814
309,359.7545035263363
310,360.23692196327215
311,362.20627463751066
312,362.6886930744465
313,363.6153840430716
314,364.0054839931596
315,364.0054839931596
316,366.012684722945
317,367.5406613683026
318,367.98078627159964
319,368.4209111748967
320,368.4209111748967
321,369.04906432212266
322,369.4391642722107
323,369.8292642222987
324,369.8292642222987
325,370.33572188385585
326,370.33572188385585
327,370.8181403207917
328,372.8254681772356
329,373.9612036222735
330,375.61662966496243
331,377.5903947881594
332,378.3112386903501
333,380.01452823061925
334,380.73391417098213
335,381.78269794721956
336,382.88607982410997
337,383.58970053990373
338,385.6785422118511
339,387.3050705647393
340,389.0568561207976
341,391.0836282236514
342,392.72420330857716
343,393.44358924894004
344,394.6390426679117
345,396.34326668252754
346,398.9325816958257
347,400.73730188033784
348,401.36399706573604
349,403.51942261194205
350,403.8100413962177
351,404.48292937268934
352,407.6671262854794
353,407.6671262854794
354,409.6155275491086
355,411.21288217486335
356,412.99176134662883
357,414.59724261402175
358,415.4233404594632
359,416.0952939615882
360,416.58307580010046
361,418.2157016671864
362,418.70348350569867
363,419.2933432025007
364,419.2933432025007
365,419.4914407310839
366,421.4018825219474
367,421.4018825219474
368,422.4513676734536
369,422.89149257675064
370,422.89149257675064
371,424.36817540451096
372,426.1464071011761
373,428.1594083263723
374,429.84491577817585
375,429.84491577817585
376,430.8880523311421
377,432.22599163841846
378,432.4240891670017
379,433.0139488638037
380,433.0139488638037
381,434.08676116569234
382,435.52050881692094
383,435.52050881692094
384,435.52050881692094
385,437.1830787462734
386,437.1830787462734
387,437.1830787462734
388,437.1830787462734
389,437.66549718320925
390,439.1660166784053
391,441.080891825354
392,441.080891825354
393,441.080891825354
394,441.64834492746746
395,442.1307633644033
396,442.1307633644033
397,443.0899786347356
398,443.57239707167145
399,445.54003577943104
400,446.8779750867074
401,446.8779750867074
402,447.2181831118232
403,448.8114355721471
404,450.3473822509239
405,451.366172160938
406,451.93362526305145
407,452.8598786115433
408,453.2000866366591
409,453.76753973877254
410,456.4253073817742
411,458.0962115631062
412,459.95256569605806
413,462.22837117772445
414,463.9519656671109
415,464.5194187692244
416,466.047395414582
417,468.3285368265635
418,470.2670112079549
419,470.70713611125194
420,471.49926769436337
421,471.6973652229466
422,472.2849907582218
423,473.9421865424587
424,473.9421865424587
425,475.4196114242833
426,475.4196114242833
427,476.61545046717316
428,477.33483640753605
429,477.6254551918117
430,479.63226404015586
431,480.138721701713
432,480.138721701713
433,481.9273980018414
434,482.6467839422043
435,482.6467839422043
436,482.6467839422043
437,482.6467839422043
438,482.6467839422043
439,482.6467839422043
440,482.8448814707875
441,484.7389921431611
442,485.221410580097
443,485.221410580097
444,485.221410580097
445,485.4195081086802
446,485.4195081086802
447,485.4195081086802
448,485.9791532284615
449,486.46157166539734
450,487.8685255365103
451,487.8685255365103
452,489.7851026721587
453,489.7851026721587
454,489.7851026721587
455,492.3475698895617
456,493.8617369205043
457,495.97307154852854
458,496.79916939397
459,498.20420182445855
460,500.39485972096037
461,502.0052202288654
462,502.44534513216246
463,502.9518027937196
464,503.24242157799523
465,503.24242157799523
466,505.13453962314645
467,508.20901257849334
468,508.499631362769
469,509.17251933924064
470,509.4631381235163
471,510.994109793392
472,512.4428754252896
473,514.0204134180602
474,515.5896577665762
475,516.0720762035121
476,517.6676143073303
