Episode,Average Reward
1,1.5528895423376368
2,1.3971480690429074
3,1.4299220839360611
4,1.5543137019200355
5,1.3408204343691525
6,1.5507411983260544
7,1.561775454213221
8,1.4193006155915098
9,1.4657771103846597
10,1.4598490797255643
11,1.4822940622175635
12,1.4974586683271944
13,1.563754089189203
14,1.5802296045650246
15,1.5650703569221769
16,1.4672534596145406
17,1.5565192805771648
18,1.5587165010301316
19,1.5572562467588467
20,1.5430615392117975
21,1.46958241829695
22,1.4656165502671425
23,1.5003439681817408
24,1.5058557139694158
25,1.5226757065563148
26,1.4810391372001892
27,1.446434307139283
28,1.4560090378180288
29,1.4840574494249716
30,1.4345888677774725
31,1.4721188756207544
32,1.4941096316206273
33,1.48317811842031
34,1.4395552325844188
35,1.4643592349856742
36,1.4519823092920197
37,1.4511003097226347
38,1.4540000213201474
39,1.4576471359976813
40,1.43095845634994
41,1.4320736849209246
42,1.4168369682111748
43,1.383887271276031
44,1.3919177298178345
45,1.3964829941719878
46,1.3661246682117274
47,1.3630467401893336
48,1.38512635903613
49,1.3638014950785722
50,1.3462624124603133
51,1.3538362399056532
52,1.3684150099627945
53,1.3517816581553008
54,1.369449120863155
55,1.3445500459383704
56,1.3648926637241026
57,1.3592196372275092
58,1.356971287441742
59,1.3339717740952717
60,1.3351805245902455
61,1.3331483482752884
62,1.3163333553075522
63,1.3228495363036659
64,1.3109244672955038
65,1.321152355164095
66,1.3303943055843
67,1.3667947079495197
68,1.3738561654036023
69,1.3795516570394826
70,1.387251053071527
71,1.3796526694881381
72,1.3860904202829887
73,1.367102880279112
74,1.3667182609187878
75,1.3541217073763976
76,1.3518056918221795
77,1.3419102892894503
78,1.3247063112216368
79,1.3079378769023755
80,1.3082334502448114
81,1.2945280684959029
82,1.2827923187429116
83,1.2795083338627964
84,1.2642760917930012
85,1.2707264932779165
86,1.2618227552736285
87,1.247319045442897
88,1.2364474515659964
89,1.2399553650368156
90,1.243152720364168
91,1.2505773617513842
92,1.2401430293875177
93,1.2403877384272253
94,1.2343505069170593
95,1.2418174101553021
96,1.2551354297396469
97,1.242195889226867
98,1.2396538887596038
99,1.2384232299305387
100,1.2260389976312334
101,1.2232596211953695
102,1.227741405800512
103,1.2158215863267208
104,1.213927050977561
105,1.202365840968251
106,1.1969349857270242
107,1.1959503229584674
108,1.188488745431889
109,1.1964932158588357
110,1.2023671877242388
111,1.2075233486186805
112,1.2056086744652557
113,1.199408642168299
114,1.1986327367060425
115,1.2183808726701073
116,1.2165214869492258
117,1.2102471019063767
118,1.2129397251559633
119,1.2156023421056188
120,1.2094924762292043
121,1.1994966706405332
122,1.2049740810560838
123,1.2073358374192245
124,1.2172860465593593
125,1.2214289999594667
126,1.2155638367608668
127,1.2109385557409071
128,1.221775238102166
129,1.2196321207711422
130,1.2200613805612432
131,1.2251789774998756
132,1.219231598149854
133,1.2163482301324264
134,1.2221591334455049
135,1.2278504321268415
136,1.228617770532856
137,1.2228623481442735
138,1.225372362639721
139,1.2186964069394577
140,1.2179268284575406
141,1.2158582222166492
142,1.2258054956639393
143,1.217233429260695
144,1.2206868552112744
145,1.227479195229557
146,1.2190718034814092
147,1.2276814227552586
148,1.2304061663694061
149,1.2327271692226838
150,1.2308111346119255
151,1.2255748019542112
152,1.228061266013795
153,1.2295518389835833
154,1.23147041851068
155,1.2302963200138768
156,1.2243163084772692
157,1.2265361982001577
158,1.2322224728049234
159,1.2244726459319364
160,1.2256012000554712
161,1.2235676339322454
162,1.218114796840786
163,1.21362849357284
164,1.2083027590090778
165,1.2061601819435483
166,1.2006858104878833
167,1.1934960750957402
168,1.1884169795601451
169,1.1939258746647068
